TEAM_ID,TEAM_NAME,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,SEASON
1610612763,Memphis Grizzlies,12,6,6,0.5,48.0,39.8,91.3,0.435,13.1,35.8,0.365,19.9,27.1,0.735,12.4,33.4,45.8,25.2,14.0,9.2,6.1,6.8,20.8,23.8,112.5,2.4,6,7,10,6,3,3,1,15,5,5,7,5,3,15,2,6,2,3,8,1,4,16,5,2,1,4,2021-22
1610612748,Miami Heat,18,11,7,0.611,48.0,38.0,85.3,0.445,10.9,34.8,0.313,17.3,21.6,0.804,9.8,31.2,41.1,21.9,12.9,8.3,3.7,4.6,21.4,21.4,104.2,3.8,3,3,14,2,3,9,6,10,10,8,13,10,11,5,5,9,9,9,4,2,10,8,8,10,11,2,2021-22
1610612749,Milwaukee Bucks,12,7,5,0.583,48.0,38.5,88.0,0.438,10.6,32.3,0.327,15.2,20.8,0.731,9.8,40.7,50.4,20.8,13.8,6.3,4.5,5.5,19.1,20.1,102.8,1.5,6,5,9,3,3,7,3,14,11,11,11,14,13,16,7,1,1,12,7,12,7,13,2,14,13,5,2021-22
1610612750,Minnesota Timberwolves,6,2,4,0.333,48.0,36.3,82.0,0.443,13.8,35.7,0.388,22.7,28.0,0.81,7.0,33.0,40.0,22.8,17.7,8.2,7.8,6.2,26.8,23.2,109.2,-5.5,9,9,1,9,3,13,10,11,3,6,2,1,2,4,15,7,11,7,16,3,1,14,16,5,5,11,2021-22
1610612740,New Orleans Pelicans,6,2,4,0.333,48.0,39.0,84.3,0.462,9.3,26.3,0.354,22.5,28.8,0.78,15.2,30.5,45.7,21.3,14.5,6.3,3.5,4.0,21.2,22.7,109.8,-1.5,9,9,1,9,3,6,7,6,15,16,10,2,1,11,1,13,3,11,9,12,12,5,7,7,4,9,2021-22
1610612755,Philadelphia 76ers,12,6,6,0.5,48.4,36.4,78.3,0.465,12.4,33.3,0.373,19.3,22.7,0.849,7.7,31.3,39.0,21.8,14.8,6.1,4.3,4.2,20.6,20.5,104.5,0.3,6,7,10,6,2,11,14,5,6,9,6,6,9,1,14,8,13,10,12,14,8,7,3,12,10,7,2021-22
1610612756,Phoenix Suns,13,7,6,0.538,48.0,41.2,82.8,0.497,9.8,27.2,0.363,15.5,18.9,0.817,9.5,30.7,40.2,25.7,13.3,6.6,3.8,3.0,22.5,21.2,107.6,-1.0,5,5,10,5,3,2,9,2,13,15,8,13,15,3,8,11,10,2,6,10,9,2,13,11,7,8,2021-22
1610612761,Toronto Raptors,6,2,4,0.333,48.8,38.3,86.0,0.446,9.8,32.8,0.299,16.7,21.0,0.794,10.0,27.5,37.5,20.7,10.0,6.7,4.8,4.8,22.2,20.3,103.2,-8.3,9,9,1,9,1,8,5,9,14,10,14,12,12,7,4,15,14,13,1,9,6,11,12,13,12,14,2021-22
1610612762,Utah Jazz,6,2,4,0.333,48.0,35.0,79.0,0.443,8.2,29.8,0.274,20.8,26.5,0.786,9.3,35.5,44.8,17.2,11.7,4.0,3.7,2.3,22.0,23.2,99.0,-5.7,9,9,1,9,3,15,13,12,16,13,16,3,4,9,9,3,4,16,3,16,10,1,11,5,14,12,2021-22
1610612737,Atlanta Hawks,6,2,4,0.333,48.0,44.0,96.3,0.457,14.0,37.3,0.375,13.8,17.0,0.814,12.2,31.7,43.8,24.5,12.8,7.7,4.8,7.2,16.3,16.5,115.8,-5.3,10,10,1,10,9,1,1,9,4,6,3,14,16,4,5,10,8,6,9,2,5,15,2,15,2,11,2022-23
