team_id,team_name,gp,w,l,w_pct,min,fgm,fga,fg_pct,fg3m,fg3a,fg3_pct,ftm,fta,ft_pct,oreb,dreb,reb,ast,tov,stl,blk,blka,pf,pfd,pts,plus_minus,season,e_off_rating,off_rating,e_def_rating,def_rating,e_net_rating,net_rating,ast_pct,ast_to,ast_ratio,oreb_pct,dreb_pct,reb_pct,tm_tov_pct,efg_pct,ts_pct,e_pace,pace,pace_per40,poss,pie
1610612761,Toronto Raptors,20,10,10,0.5,48.8,34.3,81.4,0.421,6.9,23.0,0.298,18.1,24.5,0.737,10.8,29.6,40.4,15.7,13.0,7.5,3.7,4.9,21.9,20.5,93.4,-4.3,2015-16,99.0,101.7,105.6,106.4,-6.6,-4.7,0.458,1.21,12.9,0.307,0.737,0.507,0.142,0.463,0.507,92.0,90.39,75.32,1837,0.446
1610612737,Atlanta Hawks,6,2,4,0.333,48.0,37.5,84.5,0.444,8.3,27.3,0.305,22.2,29.0,0.764,11.3,33.0,44.3,22.3,16.0,6.0,3.3,7.5,21.3,24.8,105.5,-1.2,2016-17,103.5,107.3,106.0,107.7,-2.5,-0.5,0.596,1.4,16.4,0.322,0.731,0.526,0.163,0.493,0.542,101.3,98.67,82.22,590,0.487
1610612738,Boston Celtics,18,9,9,0.5,48.3,38.4,84.1,0.457,12.7,34.4,0.369,15.7,20.3,0.773,9.4,28.5,37.9,26.9,13.4,7.7,4.1,5.2,20.8,19.0,105.2,-2.9,2016-17,108.5,110.4,111.3,113.5,-2.8,-3.1,0.702,2.0,20.1,0.261,0.682,0.468,0.141,0.532,0.566,96.5,94.76,78.96,1716,0.482
1610612741,Chicago Bulls,6,2,4,0.333,48.0,36.3,82.5,0.44,7.0,23.5,0.298,16.8,19.8,0.849,12.5,34.2,46.7,20.0,15.3,7.2,5.2,3.7,18.3,17.2,96.5,-6.8,2016-17,102.6,103.6,108.9,110.5,-6.3,-6.9,0.55,1.3,15.7,0.316,0.747,0.532,0.165,0.483,0.529,94.5,93.33,77.78,559,0.467
1610612739,Cleveland Cavaliers,18,13,5,0.722,48.0,40.9,83.1,0.493,14.2,33.9,0.42,20.1,26.2,0.767,9.2,32.9,42.2,22.1,13.1,7.4,4.7,3.8,18.8,22.3,116.2,7.9,2016-17,118.1,119.9,108.3,111.8,9.7,8.1,0.539,1.69,16.9,0.269,0.704,0.497,0.135,0.579,0.614,99.2,96.89,80.74,1745,0.538
1610612744,Golden State Warriors,17,16,1,0.941,48.0,42.9,87.0,0.494,12.7,32.9,0.386,20.7,25.4,0.815,9.3,36.5,45.8,28.2,13.6,8.7,6.1,3.8,21.8,21.6,119.3,13.5,2016-17,116.3,118.2,102.8,105.3,13.6,12.9,0.658,2.07,20.0,0.278,0.732,0.522,0.135,0.567,0.608,102.7,100.68,83.9,1716,0.588
1610612745,Houston Rockets,11,6,5,0.545,48.5,37.3,85.0,0.439,12.8,38.5,0.333,20.4,25.8,0.789,9.9,33.0,42.9,19.5,14.0,7.7,4.6,7.0,20.9,19.5,107.7,1.2,2016-17,107.2,110.1,107.1,108.9,0.2,1.2,0.524,1.4,14.9,0.282,0.679,0.483,0.143,0.514,0.559,99.0,96.9,80.75,1076,0.484
1610612754,Indiana Pacers,4,0,4,0.0,48.0,40.5,87.0,0.466,11.3,28.8,0.391,16.5,21.5,0.767,11.8,30.3,42.0,22.5,13.3,8.0,3.8,6.3,22.8,18.3,108.8,-4.0,2016-17,111.0,114.5,115.9,119.0,-4.9,-4.5,0.556,1.7,16.9,0.338,0.711,0.519,0.139,0.53,0.564,97.6,94.88,79.06,380,0.483
1610612746,LA Clippers,7,3,4,0.429,48.0,36.4,77.0,0.473,8.1,23.4,0.348,16.7,24.0,0.696,7.7,30.0,37.7,18.4,12.1,6.3,2.4,3.1,20.3,20.9,97.7,-1.1,2016-17,106.2,107.9,108.0,109.0,-1.8,-1.1,0.506,1.52,15.5,0.247,0.782,0.508,0.134,0.526,0.558,91.8,90.64,75.54,634,0.481
1610612763,Memphis Grizzlies,6,2,4,0.333,48.8,34.7,77.2,0.449,9.3,24.2,0.386,17.7,20.3,0.869,7.7,27.8,35.5,18.8,11.3,5.2,2.5,3.8,22.2,19.2,96.3,-8.3,2016-17,107.3,109.9,116.8,119.2,-9.5,-9.3,0.543,1.66,16.2,0.246,0.692,0.466,0.129,0.51,0.559,88.2,86.25,71.88,526,0.458
1610612749,Milwaukee Bucks,6,2,4,0.333,48.0,34.8,78.2,0.446,9.0,21.7,0.415,14.5,20.8,0.696,8.2,29.8,38.0,21.2,13.3,8.2,5.0,4.7,21.3,21.2,93.2,-0.7,2016-17,100.7,103.3,101.5,103.7,-0.8,-0.4,0.608,1.59,17.4,0.243,0.74,0.482,0.148,0.503,0.533,92.5,90.33,75.28,541,0.49
1610612760,Oklahoma City Thunder,5,1,4,0.2,48.0,38.6,87.4,0.442,8.4,27.0,0.311,18.6,27.0,0.689,12.2,31.4,43.6,19.8,12.8,8.4,8.0,5.0,22.2,22.6,104.2,-8.6,2016-17,104.3,105.0,109.7,113.7,-5.4,-8.7,0.513,1.55,14.8,0.293,0.686,0.481,0.129,0.49,0.525,101.3,99.2,82.67,496,0.477
1610612757,Portland Trail Blazers,4,0,4,0.0,48.0,35.5,89.5,0.397,11.0,34.0,0.324,19.5,24.3,0.804,10.0,34.0,44.0,15.8,15.3,7.3,4.8,10.3,21.8,18.8,101.5,-18.0,2016-17,96.3,100.0,114.6,116.9,-18.3,-16.9,0.444,1.03,12.0,0.264,0.736,0.481,0.15,0.458,0.507,104.9,101.88,84.9,406,0.368
1610612759,San Antonio Spurs,16,8,8,0.5,48.6,40.0,86.6,0.462,8.6,24.4,0.35,18.5,23.9,0.773,12.8,31.7,44.4,21.3,12.8,7.8,4.7,3.9,18.8,21.3,107.1,1.0,2016-17,110.3,112.8,109.5,111.6,0.7,1.2,0.533,1.67,16.2,0.327,0.737,0.526,0.134,0.512,0.551,95.7,93.72,78.1,1518,0.507
1610612761,Toronto Raptors,10,4,6,0.4,48.0,35.3,79.5,0.444,7.8,23.5,0.332,18.3,22.5,0.813,6.8,32.5,39.3,19.6,12.9,7.4,4.4,5.0,20.9,19.9,96.7,-5.7,2016-17,101.3,104.2,107.9,110.1,-6.6,-5.9,0.555,1.52,16.0,0.241,0.759,0.499,0.139,0.493,0.541,95.2,92.9,77.42,928,0.47
