feature,logistic_coefficient,logistic_abs_coefficient,rf_importance
net_rating,1.1839600467749252,1.1839600467749252,0.2963094320006994
pie,0.8756706970086642,0.8756706970086642,0.20025577363337788
top1_pie,-0.09247521496983808,0.09247521496983808,0.13883583615109657
ts_pct,0.6894892940934466,0.6894892940934466,0.13824872737357669
top1_net_rating,-0.13668588949721638,0.13668588949721638,0.0826735855794936
top1_usg_pct,-0.1636578221659054,0.1636578221659054,0.07381223919644213
top1_oreb_pct,-0.3625677337170297,0.3625677337170297,0.0698644060653139
