team_id,team_name,season,effective_field_goal_pct,turnover_ratio,offensive_rebound_rate,assist_turnover_ratio,three_point_rate,free_throw_rate,rebound_rate,defensive_rebound_rate,net_rating_proxy
1610612737,Atlanta Hawks,2015-16,0.5159952606635071,11.210762331838565,0.1971496437054632,1.7066666666666668,0.33649289099526064,0.23696682464454974,0.8698347107438017,0.8028503562945367,3.6
1610612738,Boston Celtics,2015-16,0.48822869955156956,9.967986030267753,0.2583518930957684,1.7664233576642336,0.29260089686098656,0.26345291479820626,0.9315352697095435,0.7416481069042316,3.2
1610612751,Brooklyn Nets,2015-16,0.49111374407582936,11.331618277594021,0.24764150943396226,1.5067567567567568,0.21800947867298576,0.24526066350710898,0.879668049792531,0.7523584905660378,-7.4
1610612766,Charlotte Hornets,2015-16,0.5011848341232227,9.687819698050035,0.2050113895216401,1.736,0.3483412322274881,0.28080568720379145,0.9070247933884298,0.7972665148063781,2.7
1610612741,Chicago Bulls,2015-16,0.4868421052631579,10.424478776061196,0.23974082073434125,1.6402877697841727,0.24485125858123566,0.24027459954233407,0.9546391752577319,0.7602591792656589,-1.5
1610612739,Cleveland Cavaliers,2015-16,0.5244047619047619,10.473784732918489,0.23820224719101124,1.6691176470588236,0.3523809523809524,0.2583333333333333,0.9194214876033058,0.7617977528089888,6.0
1610612742,Dallas Mavericks,2015-16,0.5029726516052319,9.936962394807937,0.21345707656612525,1.7265625,0.3400713436385256,0.26516052318668254,0.8831967213114755,0.7865429234338747,-0.3
1610612743,Denver Nuggets,2015-16,0.4882903981264637,11.019159845282001,0.25784753363228696,1.5442176870748299,0.2775175644028103,0.2822014051522248,0.9214876033057852,0.742152466367713,-3.1
1610612765,Detroit Pistons,2015-16,0.4907407407407407,10.343242414955562,0.2699784017278618,1.437037037037037,0.3032407407407407,0.2951388888888889,0.9546391752577319,0.7321814254859611,0.6
1610612744,Golden State Warriors,2015-16,0.5618556701030928,10.780753517930096,0.21645021645021645,1.9013157894736843,0.3619702176403208,0.24971363115693015,0.9525773195876289,0.7835497835497836,10.8
1610612745,Houston Rockets,2015-16,0.5155688622754492,11.818398049592673,0.26218097447795824,1.3962264150943395,0.37005988023952097,0.3520958083832335,0.8904958677685951,0.7354988399071926,0.2
1610612754,Indiana Pacers,2015-16,0.49706572769953045,11.345292845612647,0.2330316742081448,1.4228187919463087,0.2699530516431925,0.2676056338028169,0.9113402061855671,0.7669683257918551,1.7
1610612746,LA Clippers,2015-16,0.5236650485436892,10.020966946225949,0.20952380952380953,1.7538461538461538,0.3240291262135922,0.31796116504854366,0.8677685950413223,0.7928571428571428,4.3
1610612747,Los Angeles Lakers,2015-16,0.4599056603773585,10.756233904905471,0.24883720930232556,1.3138686131386863,0.29009433962264153,0.29127358490566035,0.8939708939708939,0.7511627906976743,-9.6
1610612763,Memphis Grizzlies,2015-16,0.4766746411483253,10.35277267490737,0.2692307692307692,1.5563909774436089,0.22129186602870815,0.29545454545454547,0.859504132231405,0.7331730769230769,-2.2
1610612748,Miami Heat,2015-16,0.5073439412484699,11.12689393939394,0.22222222222222224,1.4751773049645391,0.22031823745410037,0.28151774785801714,0.9111570247933884,0.7777777777777777,1.6
1610612749,Milwaukee Bucks,2015-16,0.5,11.648580712402673,0.2517985611510791,1.5197368421052633,0.1897810218978102,0.2761557177615572,0.8615702479338844,0.7482014388489208,-4.2
1610612750,Minnesota Timberwolves,2015-16,0.49753997539975403,11.399908800729596,0.24038461538461536,1.5599999999999998,0.2017220172201722,0.33210332103321033,0.8577319587628867,0.7572115384615384,-3.5
1610612740,New Orleans Pelicans,2015-16,0.4982537834691501,10.208123838254563,0.22300469483568075,1.6567164179104477,0.2770663562281723,0.25844004656577413,0.8838174273858921,0.7769953051643192,-3.8
1610612752,New York Knicks,2015-16,0.48333333333333334,10.524992930974896,0.23423423423423426,1.5298507462686566,0.25595238095238093,0.25476190476190474,0.9192546583850932,0.7657657657657658,-2.7
1610612760,Oklahoma City Thunder,2015-16,0.5237268518518519,11.657917118808106,0.26954732510288065,1.4465408805031446,0.2743055555555555,0.29166666666666663,1.0041322314049588,0.7325102880658436,7.3
1610612753,Orlando Magic,2015-16,0.5,10.574154067674586,0.2378752886836028,1.6737588652482271,0.2557603686635945,0.23156682027649772,0.8927835051546391,0.7621247113163973,-1.6
1610612755,Philadelphia 76ers,2015-16,0.4863095238095238,12.438942993234427,0.23058252427184464,1.3109756097560976,0.3273809523809524,0.2690476190476191,0.8530020703933748,0.7718446601941747,-10.2
1610612756,Phoenix Suns,2015-16,0.48714953271028044,12.863852574266312,0.2566964285714286,1.2034883720930232,0.3014018691588785,0.2710280373831776,0.9313929313929313,0.7433035714285714,-6.7
1610612757,Portland Trail Blazers,2015-16,0.510477299185099,11.067313523347481,0.2549450549450549,1.4589041095890412,0.3317811408614668,0.26775320139697323,0.9420289855072465,0.7450549450549451,0.8
1610612758,Sacramento Kings,2015-16,0.5092592592592592,11.711972238288029,0.23981900452488686,1.5123456790123457,0.25925925925925924,0.2951388888888889,0.9151138716356109,0.7624434389140272,-2.5
1610612759,San Antonio Spurs,2015-16,0.525934861278649,10.1177052117767,0.214123006833713,1.870229007633588,0.22316043425814233,0.24607961399276232,0.9126819126819127,0.785876993166287,10.6
1610612761,Toronto Raptors,2015-16,0.5043050430504306,10.49275919518134,0.23502304147465436,1.4274809160305344,0.2878228782287823,0.3284132841328413,0.900414937759336,0.7649769585253458,4.5
1610612762,Utah Jazz,2015-16,0.5018656716417911,11.975566629159298,0.24768518518518515,1.2751677852348993,0.29726368159203975,0.2860696517412935,0.8870636550308009,0.7523148148148148,1.8
1610612764,Washington Wizards,2015-16,0.5104895104895105,10.764662212323683,0.21770334928229665,1.6896551724137931,0.28205128205128205,0.26223776223776224,0.867219917012448,0.784688995215311,-0.5
1610612737,Atlanta Hawks,2016-17,0.5041469194312796,11.724895366440082,0.23250564334085783,1.4936708860759493,0.30924170616113744,0.2950236966824644,0.9134020618556701,0.7697516930022574,-0.9
