team_id,team_abbreviation,season,top1_pie,top1_ts_pct,top1_efg_pct,top1_usg_pct,top1_ast_to,top1_stl,top1_blk,top1_def_rating,top1_net_rating,top1_oreb_pct,top1_dreb_pct
1610612746,LAC,2016-17,0.212,0.592,0.548,0.301,3.63,1.7,0.1,107.7,1.2,0.017,0.134
1610612746,LAC,2018-19,0.154,0.518,0.5,0.221,0.25,0.5,0.5,96.4,-1.2,0.193,0.297
1610612746,LAC,2019-20,0.274,1.5,1.5,0.13,0.0,0.0,0.0,95.5,45.5,0.0,0.083
1610612746,LAC,2020-21,0.191,0.679,0.629,0.286,2.0,2.1,0.8,116.5,3.3,0.057,0.147
1610612746,LAC,2022-23,0.187,0.67,0.614,0.285,2.0,2.0,0.5,119.8,-4.9,0.034,0.156
1610612746,LAC,2023-24,0.235,0.628,0.5,0.345,4.0,0.0,0.0,116.0,8.0,0.0,0.167
1610612746,LAC,2024-25,0.354,0.948,0.938,0.222,0.0,0.0,0.0,80.6,64.5,0.0,0.077
1610612747,LAL,2019-20,0.235,0.647,0.618,0.296,2.19,1.2,0.9,104.5,10.9,0.039,0.261
1610612747,LAL,2020-21,0.173,0.564,0.553,0.289,1.92,1.5,0.3,106.8,2.3,0.032,0.164
1610612747,LAL,2022-23,0.168,0.599,0.53,0.237,1.21,1.4,3.1,111.2,3.7,0.064,0.27
1610612747,LAL,2023-24,0.178,0.665,0.634,0.246,1.82,0.4,1.6,114.8,-3.2,0.078,0.297
1610612747,LAL,2024-25,1.0,0.5,0.5,0.455,0.0,0.0,0.0,66.7,16.7,0.286,0.333
1610612748,MIA,2015-16,0.246,0.68,0.6,0.273,0.0,0.0,0.0,92.1,-2.1,0.0,0.261
1610612748,MIA,2017-18,0.151,0.51,0.443,0.293,1.64,1.4,0.2,99.3,1.4,0.021,0.124
1610612748,MIA,2019-20,0.15,0.616,0.514,0.244,2.15,2.0,0.7,111.6,2.5,0.06,0.113
1610612748,MIA,2020-21,0.152,0.608,0.75,0.385,0.0,0.0,0.7,76.0,3.2,0.0,0.333
1610612748,MIA,2021-22,0.205,0.604,0.541,0.28,3.12,2.1,0.6,105.7,7.7,0.063,0.143
1610612748,MIA,2022-23,0.158,0.565,0.5,0.281,3.15,1.8,0.6,112.7,-1.0,0.052,0.113
1610612748,MIA,2023-24,0.2,0.721,0.714,0.286,0.5,0.0,0.0,96.9,-15.1,0.118,0.176
1610612748,MIA,2024-25,0.137,1.0,1.0,0.1,0.0,0.0,0.0,121.4,0.8,0.0,0.133
1610612749,MIL,2016-17,0.178,0.615,0.529,0.256,0.91,1.3,0.5,99.6,6.5,0.123,0.233
1610612749,MIL,2017-18,0.183,0.62,0.587,0.276,2.59,1.4,0.9,109.3,-0.6,0.033,0.209
1610612749,MIL,2018-19,0.188,0.572,0.529,0.31,1.46,1.2,2.0,99.2,10.5,0.064,0.246
1610612749,MIL,2019-20,0.223,0.61,0.599,0.339,1.7,0.7,0.9,104.8,3.6,0.091,0.33
1610612749,MIL,2020-21,0.206,0.6,0.6,0.15,1.0,0.2,0.0,85.3,-22.4,0.067,0.059
1610612749,MIL,2021-22,0.208,0.552,0.507,0.373,1.5,0.7,1.3,99.2,7.1,0.054,0.286
1610612749,MIL,2022-23,0.179,0.833,0.833,0.231,0.0,0.0,0.0,118.2,-9.8,0.0,0.2
1610612749,MIL,2023-24,0.144,0.64,0.543,0.3,2.22,1.0,0.0,124.8,-13.8,0.012,0.066
1610612749,MIL,2024-25,0.211,0.651,0.611,0.352,1.43,1.0,1.0,122.1,-7.0,0.101,0.341
1610612750,MIN,2017-18,0.167,0.515,0.667,0.5,0.0,0.0,0.0,57.1,9.5,0.0,0.0
1610612750,MIN,2021-22,0.25,0.4,0.4,0.375,1.0,1.0,0.0,92.9,-21.4,0.091,0.111
1610612750,MIN,2022-23,0.166,0.602,0.548,0.328,3.25,1.8,2.0,119.8,-2.3,0.017,0.116
1610612750,MIN,2023-24,0.454,0.934,0.917,0.254,0.0,0.0,0.0,68.6,36.8,0.071,0.125
1610612750,MIN,2024-25,0.233,0.813,0.813,0.243,0.0,0.0,0.0,114.3,-1.4,0.214,0.182
1610612751,BKN,2018-19,0.25,0.826,0.773,0.194,0.0,0.3,0.0,101.5,36.4,0.08,0.167
1610612751,BKN,2019-20,0.172,0.69,0.625,0.225,1.5,0.0,0.3,120.0,-30.9,0.0,0.258
1610612751,BKN,2020-21,0.204,0.571,0.571,0.154,0.0,0.6,0.0,80.4,21.5,0.103,0.435
1610612751,BKN,2021-22,0.128,0.624,0.792,0.17,3.0,1.3,2.3,115.4,-0.5,0.08,0.178
1610612751,BKN,2022-23,0.137,0.714,0.72,0.129,2.0,0.3,1.8,110.6,-9.7,0.048,0.211
1610612752,NYK,2020-21,1.125,1.136,0.0,0.111,0.0,0.0,1.0,25.0,97.2,0.0,0.2
1610612752,NYK,2022-23,0.165,0.589,0.53,0.277,2.7,1.5,0.1,109.5,3.8,0.02,0.103
1610612752,NYK,2023-24,0.181,0.931,1.0,0.06,0.0,0.4,0.2,78.9,10.9,0.088,0.217
1610612752,NYK,2024-25,0.215,1.5,1.5,0.077,0.0,0.0,0.0,92.9,76.4,0.0,0.111
1610612753,ORL,2018-19,0.183,0.425,0.4,0.154,0.0,0.3,0.0,36.4,51.9,0.042,0.13
1610612753,ORL,2019-20,0.353,1.5,1.5,0.111,0.0,0.0,0.0,37.5,95.8,0.0,0.333
1610612753,ORL,2023-24,0.164,0.554,0.51,0.332,0.88,1.1,0.6,99.1,3.4,0.049,0.174
1610612753,ORL,2024-25,0.233,1.5,1.5,0.222,0.0,0.0,0.0,111.1,11.1,0.0,0.0
1610612754,IND,2015-16,0.217,0.632,0.528,0.308,1.3,2.0,0.7,99.0,9.5,0.039,0.146
1610612754,IND,2016-17,0.147,0.553,0.489,0.29,2.23,1.8,0.5,120.5,-7.1,0.028,0.182
1610612754,IND,2017-18,0.192,0.548,0.508,0.299,1.75,2.4,0.4,99.0,12.6,0.012,0.214
1610612754,IND,2018-19,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,125.0,0.0,1.0
1610612754,IND,2019-20,0.133,0.556,0.469,0.251,4.0,1.0,0.0,112.3,-6.2,0.0,0.113
1610612754,IND,2023-24,1.0,0.568,0.0,1.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0
1610612754,IND,2024-25,0.16,0.583,0.56,0.246,2.11,0.9,0.1,110.0,-3.5,0.031,0.149
1610612755,PHI,2017-18,0.167,1.5,1.5,0.25,0.0,0.0,0.0,133.3,41.7,0.0,0.0
1610612755,PHI,2018-19,0.182,0.0,0.0,0.0,0.0,0.5,0.0,6.7,93.3,0.0,0.0
1610612755,PHI,2019-20,0.242,0.444,0.2,0.14,0.0,0.0,0.0,79.5,6.2,0.083,0.261
1610612755,PHI,2020-21,2.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0
1610612755,PHI,2021-22,0.145,0.5,0.5,0.154,0.0,0.0,0.0,96.9,9.6,0.0,0.235
1610612755,PHI,2022-23,0.154,0.68,0.6,0.156,2.0,0.3,0.0,104.9,-9.8,0.0,0.15
1610612755,PHI,2023-24,0.176,0.592,0.492,0.358,1.36,1.2,1.5,114.8,9.3,0.084,0.169
1610612756,PHX,2020-21,0.308,1.0,1.0,0.333,0.0,0.0,0.0,75.0,-8.3,0.0,0.0
1610612756,PHX,2021-22,0.265,0.727,0.75,0.25,0.0,0.5,0.2,84.4,70.1,0.136,0.0
1610612756,PHX,2022-23,0.169,0.686,0.649,0.283,2.47,1.7,0.8,120.0,-3.4,0.028,0.088
