team_id,team_name,season,efg_pct,ts_pct,off_rating,def_rating,net_rating,pace,pie,oreb_pct,dreb_pct,tm_tov_pct,ast_to,three_point_rate,free_throw_rate,playoff_stage
1610612764,Washington Wizards,2016-17,0.505,0.549,110.2,110.5,-0.3,97.18,0.501,0.315,0.719,0.14,1.65,0.3025114155251142,0.2808219178082192,Second Round
1610612738,Boston Celtics,2017-18,0.5,0.541,107.1,106.2,0.9,93.74,0.499,0.256,0.747,0.123,1.82,0.3673469387755102,0.28211284513805523,Conference Finals
1610612739,Cleveland Cavaliers,2017-18,0.512,0.55,108.3,111.1,-2.8,92.13,0.483,0.289,0.744,0.136,1.52,0.3699633699633699,0.28205128205128205,Finals
1610612744,Golden State Warriors,2017-18,0.545,0.581,112.7,102.0,10.7,97.73,0.572,0.255,0.732,0.131,2.03,0.3651162790697674,0.23720930232558138,Champion
1610612745,Houston Rockets,2017-18,0.514,0.552,108.5,107.0,1.6,96.56,0.497,0.251,0.755,0.125,1.56,0.46658851113716293,0.26025791324736225,Conference Finals
1610612754,Indiana Pacers,2017-18,0.542,0.567,110.3,103.4,6.9,91.43,0.545,0.274,0.735,0.144,1.61,0.33832709113607995,0.24094881398252188,First Round
1610612748,Miami Heat,2017-18,0.507,0.542,101.8,112.2,-10.4,101.7,0.429,0.235,0.655,0.157,1.49,0.33333333333333337,0.3454106280193237,First Round
1610612749,Milwaukee Bucks,2017-18,0.561,0.585,108.7,108.8,-0.1,92.55,0.509,0.19,0.698,0.14,1.67,0.3282247765006386,0.2541507024265645,First Round
1610612750,Minnesota Timberwolves,2017-18,0.515,0.548,106.9,116.0,-9.0,95.1,0.475,0.245,0.745,0.133,1.78,0.26392251815980633,0.2760290556900727,First Round
1610612740,New Orleans Pelicans,2017-18,0.533,0.562,105.5,107.0,-1.4,103.89,0.504,0.215,0.762,0.139,1.86,0.30066815144766146,0.20378619153674835,Second Round
1610612760,Oklahoma City Thunder,2017-18,0.49,0.528,102.9,106.9,-4.0,98.5,0.469,0.261,0.713,0.142,1.17,0.3329479768786127,0.24508670520231213,First Round
1610612755,Philadelphia 76ers,2017-18,0.493,0.539,108.9,105.0,3.9,98.87,0.532,0.333,0.769,0.146,1.77,0.33107344632768365,0.31977401129943506,Second Round
1610612757,Portland Trail Blazers,2017-18,0.512,0.539,105.5,113.9,-8.4,100.25,0.426,0.267,0.781,0.145,1.31,0.3549450549450549,0.17362637362637365,First Round
1610612759,San Antonio Spurs,2017-18,0.463,0.515,102.1,111.9,-9.8,94.6,0.418,0.233,0.709,0.116,1.73,0.33651551312649164,0.27446300715990457,First Round
1610612761,Toronto Raptors,2017-18,0.536,0.578,111.4,116.4,-4.9,95.16,0.469,0.272,0.719,0.145,1.56,0.3244228432563791,0.29040097205346294,Second Round
1610612762,Utah Jazz,2017-18,0.52,0.549,104.3,106.1,-1.8,98.36,0.488,0.255,0.754,0.158,1.3,0.36067551266586245,0.2834740651387213,Second Round
1610612764,Washington Wizards,2017-18,0.513,0.561,109.7,110.8,-1.1,98.08,0.498,0.279,0.736,0.138,1.73,0.25586854460093894,0.2734741784037559,First Round
1610612738,Boston Celtics,2018-19,0.491,0.539,101.4,103.0,-1.5,100.61,0.502,0.229,0.783,0.147,1.45,0.39239001189060646,0.2877526753864447,Second Round
1610612751,Brooklyn Nets,2018-19,0.48,0.534,105.7,115.9,-10.2,105.5,0.413,0.258,0.643,0.135,1.35,0.37199124726477023,0.3194748358862144,First Round
1610612743,Denver Nuggets,2018-19,0.496,0.539,113.3,111.1,2.2,93.68,0.518,0.311,0.703,0.102,2.45,0.3082039911308204,0.2793791574279379,Second Round
1610612765,Detroit Pistons,2018-19,0.444,0.471,96.8,120.5,-23.8,101.13,0.354,0.248,0.727,0.104,2.19,0.3440082644628099,0.17045454545454547,First Round
1610612744,Golden State Warriors,2018-19,0.548,0.589,114.6,111.5,3.1,98.57,0.536,0.301,0.714,0.15,1.91,0.37979094076655057,0.28222996515679444,Finals
1610612745,Houston Rockets,2018-19,0.537,0.574,110.5,107.4,3.0,97.26,0.497,0.287,0.687,0.161,1.16,0.509546539379475,0.28997613365155134,Second Round
1610612754,Indiana Pacers,2018-19,0.461,0.496,95.8,103.9,-8.1,95.63,0.454,0.196,0.737,0.125,1.73,0.3568862275449102,0.24550898203592814,First Round
1610612746,LA Clippers,2018-19,0.511,0.563,111.5,120.5,-9.0,103.08,0.431,0.293,0.714,0.146,1.69,0.3553811659192825,0.32286995515695066,First Round
1610612749,Milwaukee Bucks,2018-19,0.523,0.56,110.7,101.9,8.8,100.57,0.555,0.259,0.776,0.128,1.92,0.4314835787089468,0.3171007927519819,Conference Finals
1610612760,Oklahoma City Thunder,2018-19,0.5,0.541,104.4,109.9,-5.5,100.9,0.482,0.264,0.701,0.151,1.49,0.3651162790697674,0.29534883720930233,First Round
1610612753,Orlando Magic,2018-19,0.451,0.496,95.8,111.5,-15.7,95.7,0.399,0.26,0.796,0.163,1.22,0.4192771084337349,0.2674698795180723,First Round
1610612755,Philadelphia 76ers,2018-19,0.514,0.559,109.1,106.0,3.1,99.63,0.538,0.319,0.752,0.166,1.48,0.331002331002331,0.30069930069930073,Second Round
1610612757,Portland Trail Blazers,2018-19,0.501,0.541,109.5,110.6,-1.1,97.15,0.471,0.298,0.691,0.129,1.53,0.3628318584070796,0.2743362831858407,Conference Finals
1610612759,San Antonio Spurs,2018-19,0.503,0.542,110.7,113.1,-2.3,93.14,0.493,0.264,0.726,0.09,2.51,0.23384253819036427,0.2702702702702703,First Round
1610612761,Toronto Raptors,2018-19,0.515,0.561,109.8,104.2,5.6,96.25,0.524,0.239,0.719,0.124,1.87,0.40683962264150947,0.27476415094339623,Champion
1610612762,Utah Jazz,2018-19,0.455,0.501,99.2,108.5,-9.3,98.6,0.473,0.305,0.742,0.154,1.51,0.4143518518518518,0.2962962962962963,First Round
1610612738,Boston Celtics,2019-20,0.527,0.572,111.6,106.3,5.3,96.32,0.531,0.261,0.747,0.142,1.62,0.42873969375736154,0.28504122497055356,Conference Finals
1610612751,Brooklyn Nets,2019-20,0.482,0.518,102.4,122.9,-20.4,103.0,0.388,0.264,0.764,0.14,1.78,0.5038335158817087,0.2683461117196057,First Round
1610612742,Dallas Mavericks,2019-20,0.549,0.58,112.1,121.4,-9.3,102.55,0.463,0.216,0.779,0.121,1.7,0.4204035874439462,0.29708520179372194,First Round
1610612743,Denver Nuggets,2019-20,0.545,0.584,112.6,115.0,-2.4,94.87,0.491,0.279,0.722,0.146,1.62,0.3927272727272727,0.2593939393939394,Conference Finals
1610612745,Houston Rockets,2019-20,0.535,0.569,107.7,106.8,0.8,99.18,0.48,0.189,0.733,0.134,1.59,0.5454545454545454,0.23543123543123542,Second Round
1610612754,Indiana Pacers,2019-20,0.53,0.565,103.9,112.7,-8.8,97.88,0.434,0.185,0.71,0.157,1.48,0.3985056039850561,0.25280199252801994,First Round
1610612746,LA Clippers,2019-20,0.544,0.585,114.4,110.1,4.2,98.9,0.513,0.253,0.762,0.13,1.63,0.3796296296296296,0.29166666666666663,Second Round
1610612747,Los Angeles Lakers,2019-20,0.561,0.595,115.6,108.7,6.9,97.52,0.548,0.304,0.76,0.158,1.67,0.4071428571428572,0.29285714285714287,Champion
1610612748,Miami Heat,2019-20,0.537,0.587,112.7,110.8,1.9,96.57,0.521,0.243,0.731,0.135,1.89,0.4329268292682927,0.32195121951219513,Finals
1610612749,Milwaukee Bucks,2019-20,0.537,0.568,109.1,107.3,1.8,101.05,0.502,0.23,0.791,0.146,1.63,0.42594718714121704,0.27898966704936856,Second Round
1610612760,Oklahoma City Thunder,2019-20,0.5,0.542,101.7,108.3,-6.6,100.65,0.482,0.253,0.816,0.166,1.05,0.42857142857142855,0.2810304449648712,First Round
1610612753,Orlando Magic,2019-20,0.505,0.547,101.9,111.5,-9.6,104.6,0.446,0.172,0.78,0.139,1.63,0.4492099322799097,0.23702031602708806,First Round
1610612755,Philadelphia 76ers,2019-20,0.443,0.512,105.0,117.2,-12.3,95.75,0.446,0.316,0.725,0.125,1.46,0.3607142857142857,0.38095238095238093,First Round
1610612757,Portland Trail Blazers,2019-20,0.492,0.537,104.1,114.5,-10.4,102.4,0.415,0.277,0.704,0.156,1.11,0.3469387755102041,0.2834467120181406,First Round
1610612761,Toronto Raptors,2019-20,0.525,0.559,108.7,104.9,3.8,98.63,0.515,0.226,0.759,0.13,1.9,0.455367231638418,0.24067796610169492,Second Round
1610612762,Utah Jazz,2019-20,0.583,0.616,120.3,116.8,3.5,92.83,0.517,0.26,0.712,0.127,1.79,0.45543345543345537,0.2844932844932845,First Round
1610612737,Atlanta Hawks,2020-21,0.516,0.554,108.8,110.5,-1.8,97.61,0.483,0.256,0.711,0.127,1.63,0.3940092165898618,0.24078341013824883,Conference Finals
1610612738,Boston Celtics,2020-21,0.508,0.56,115.9,128.0,-12.1,96.6,0.439,0.355,0.699,0.134,1.62,0.41496598639455784,0.31065759637188206,First Round
1610612751,Brooklyn Nets,2020-21,0.551,0.592,115.9,109.3,6.6,96.29,0.539,0.242,0.698,0.119,1.95,0.41299303944315546,0.2354988399071926,Second Round
1610612742,Dallas Mavericks,2020-21,0.534,0.559,114.2,119.7,-5.5,92.86,0.448,0.29,0.753,0.118,1.88,0.4069767441860465,0.23255813953488372,First Round
1610612743,Denver Nuggets,2020-21,0.536,0.566,116.8,122.1,-5.3,96.39,0.469,0.295,0.738,0.114,2.22,0.41757049891540127,0.2266811279826464,Second Round
1610612746,LA Clippers,2020-21,0.562,0.604,119.2,114.5,4.8,93.76,0.534,0.247,0.719,0.114,1.95,0.4444444444444444,0.28937728937728935,Conference Finals
1610612747,Los Angeles Lakers,2020-21,0.473,0.52,102.6,109.3,-6.7,95.08,0.442,0.277,0.781,0.146,1.4,0.39518072289156625,0.29518072289156627,First Round
1610612763,Memphis Grizzlies,2020-21,0.523,0.556,115.0,123.4,-8.4,100.0,0.459,0.279,0.729,0.104,2.12,0.3347457627118644,0.21610169491525422,First Round
1610612748,Miami Heat,2020-21,0.462,0.499,95.4,115.0,-19.7,100.26,0.389,0.212,0.664,0.136,1.54,0.4008958566629339,0.2273236282194849,First Round
1610612749,Milwaukee Bucks,2020-21,0.524,0.55,112.2,106.8,5.3,97.51,0.531,0.31,0.765,0.13,1.79,0.38419319429198684,0.2283205268935236,Champion
