team_id,season,net_rating,ts_pct,pie,top1_oreb_pct,top1_pie,top1_usg_pct,top1_net_rating,playoff_stage
1610612747,2019-20,6.9,0.595,0.548,0.039,0.235,0.296,10.9,Champion
1610612748,2019-20,1.9,0.587,0.521,0.06,0.15,0.244,2.5,Finals
1610612749,2019-20,1.8,0.568,0.502,0.091,0.223,0.339,3.6,Second Round
1610612760,2019-20,-6.6,0.542,0.482,0.014,0.157,0.142,0.0,First Round
1610612753,2019-20,-9.6,0.547,0.446,0.0,0.353,0.111,95.8,First Round
1610612755,2019-20,-12.3,0.512,0.446,0.083,0.242,0.14,6.2,First Round
1610612757,2019-20,-10.4,0.537,0.415,0.006,0.141,0.266,-15.6,First Round
1610612761,2019-20,3.8,0.559,0.515,0.065,0.182,0.215,7.2,Second Round
1610612762,2019-20,3.5,0.616,0.517,0.026,0.195,0.37,6.5,First Round
1610612737,2020-21,-1.8,0.554,0.483,0.0,0.286,0.133,-6.1,Conference Finals
1610612738,2020-21,-12.1,0.56,0.439,0.0,1.0,0.0,50.0,First Round
1610612751,2020-21,6.6,0.592,0.539,0.103,0.204,0.154,21.5,Second Round
1610612742,2020-21,-5.5,0.559,0.448,0.014,0.186,0.391,0.4,First Round
1610612743,2020-21,-5.3,0.566,0.469,0.1,0.191,0.34,-9.1,Second Round
1610612746,2020-21,4.8,0.604,0.534,0.057,0.191,0.286,3.3,Conference Finals
1610612747,2020-21,-6.7,0.52,0.442,0.032,0.173,0.289,2.3,First Round
1610612763,2020-21,-8.4,0.556,0.459,0.0,1.333,0.0,66.7,First Round
1610612748,2020-21,-19.7,0.499,0.389,0.0,0.152,0.385,3.2,First Round
1610612749,2020-21,5.3,0.55,0.531,0.067,0.206,0.15,-22.4,Champion
1610612752,2020-21,-7.6,0.505,0.448,0.0,1.125,0.111,97.2,First Round
1610612755,2020-21,8.1,0.589,0.552,0.0,2.0,0.0,0.0,Second Round
1610612756,2020-21,4.2,0.585,0.536,0.0,0.308,0.333,-8.3,Finals
1610612757,2020-21,-0.7,0.608,0.484,0.2,0.246,0.19,0.0,First Round
1610612762,2020-21,-1.6,0.616,0.485,0.009,0.162,0.369,3.1,Second Round
1610612764,2020-21,-14.1,0.543,0.426,0.0,0.141,0.149,-33.5,First Round
1610612737,2021-22,-11.8,0.554,0.43,0.0,0.418,0.652,22.7,First Round
1610612738,2021-22,3.9,0.574,0.529,0.0,0.214,0.125,35.5,Finals
1610612751,2021-22,-4.1,0.61,0.468,0.08,0.128,0.17,-0.5,First Round
1610612741,2021-22,-13.8,0.493,0.433,0.0,0.492,0.238,52.6,First Round
1610612742,2021-22,0.6,0.584,0.48,0.019,0.204,0.396,2.7,Conference Finals
